dbms,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,REFERENCED_TABLE_SCHEMA,REFERENCED_TABLE_NAME,REFERENCED_COLUMN_NAME
mysql,turnero,Deportes,id_deporte,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,turnero,Deportes,nombre_deporte,2,varchar,255,NULL,NULL,NULL,NULL
mysql,turnero,Estados_Reservas,id_estado,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,turnero,Estados_Reservas,nombre_estado,2,enum,10,NULL,NULL,NULL,NULL
mysql,turnero,Estados_Reservas,descripcion,3,varchar,255,NULL,NULL,NULL,NULL
mysql,turnero,Equipos,id_equipo,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,turnero,Equipos,nombre_equipo,2,varchar,255,NULL,NULL,NULL,NULL
mysql,turnero,Equipos,avatar,3,varchar,255,NULL,NULL,NULL,NULL
mysql,turnero,Eventos,id_evento,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,turnero,Eventos,nombre_evento,2,varchar,255,NULL,NULL,NULL,NULL
mysql,turnero,Eventos,fecha,3,date,NULL,NULL,NULL,NULL,NULL
mysql,turnero,Canchas,id_cancha,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,turnero,Canchas,id_deporte,2,int,NULL,"FOREIGN KEY",turnero,Deportes,id_deporte
mysql,turnero,Canchas,nombre_cancha,3,varchar,255,NULL,NULL,NULL,NULL
mysql,turnero,Canchas,hora_semana,4,time,NULL,NULL,NULL,NULL,NULL
mysql,turnero,Canchas,hora_fin_semana,5,time,NULL,NULL,NULL,NULL,NULL
mysql,turnero,Canchas,dia_semana,6,varchar,10,NULL,NULL,NULL,NULL
mysql,turnero,Canchas,disponible,7,tinyint,NULL,NULL,NULL,NULL,NULL
mysql,turnero,Reservas,id_reserva,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,turnero,Reservas,id_usuario,2,int,NULL,"FOREIGN KEY",turnero,Usuarios,id_usuario
mysql,turnero,Reservas,id_cancha,3,int,NULL,"FOREIGN KEY",turnero,Canchas,id_cancha
mysql,turnero,Reservas,fecha,4,date,NULL,NULL,NULL,NULL,NULL
mysql,turnero,Reservas,hora_semana,5,time,NULL,NULL,NULL,NULL,NULL
mysql,turnero,Reservas,hora_fin_semana,6,time,NULL,NULL,NULL,NULL,NULL
mysql,turnero,Reservas,id_estado,7,int,NULL,"FOREIGN KEY",turnero,Estados_Reservas,id_estado
mysql,turnero,Reservas,id_usuario_reservante,8,int,NULL,"FOREIGN KEY",turnero,Usuarios,id_usuario
mysql,turnero,Reservas,id_usuario_aceptante,9,int,NULL,"FOREIGN KEY",turnero,Usuarios,id_usuario
mysql,turnero,Reservas,dia_semana,10,varchar,10,NULL,NULL,NULL,NULL
mysql,turnero,Usuarios_Equipos,id_usuario_equipo,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,turnero,Usuarios_Equipos,id_usuario,2,int,NULL,"FOREIGN KEY",turnero,Usuarios,id_usuario
mysql,turnero,Usuarios_Equipos,id_equipo,3,int,NULL,"FOREIGN KEY",turnero,Equipos,id_equipo
mysql,turnero,Reservas_Historial,id_historial,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
mysql,turnero,Reservas_Historial,id_reserva,2,int,NULL,"FOREIGN KEY",turnero,Reservas,id_reserva
mysql,turnero,Reservas_Historial,id_usuario_reservante,3,int,NULL,"FOREIGN KEY",turnero,Usuarios,id_usuario
mysql,turnero,Reservas_Historial,id_usuario_aceptante,4,int,NULL,"FOREIGN KEY",turnero,Usuarios,id_usuario
mysql,turnero,Reservas_Historial,id_cancha,5,int,NULL,"FOREIGN KEY",turnero,Canchas,id_cancha
mysql,turnero,Reservas_Historial,fecha,6,date,NULL,NULL,NULL,NULL,NULL
mysql,turnero,Reservas_Historial,hora_semana,7,time,NULL,NULL,NULL,NULL,NULL
mysql,turnero,Reservas_Historial,hora_fin_semana,8,time,NULL,NULL,NULL,NULL,NULL
mysql,turnero,Reservas_Historial,id_estado,9,int,NULL,"FOREIGN KEY",turnero,Estados_Reservas,id_estado
mysql,turnero,Reviews,id_review,1,int,NULL,"PRIMARY KEY",NULL,NULL,NULL
